nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.890268077908943689e-01,2.693592386253008675e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.132261695861179640e-02,2.925997870132358569e-01,4.360201297895935912e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.739363786195577133e-01,2.614656442188871277e-01,nan,3.063456762114982190e-01,1.523433837180334927e-01,9.476588153926920888e-02,2.093336117048064937e-01,3.165327072719172352e-01,3.680185123211688336e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.187127145844620701e-02,8.947735421900684591e-03,1.606629715676379799e-01,2.342863341987200809e-01,2.311995878474998045e-01,2.607915783603594329e-01,3.148226006836062907e-01,3.537201578600023266e-01,2.868962280726393699e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.910731844360147702e-02,1.293709212525564478e-01,2.316768878886056315e-01,2.990783998796195386e-01,3.377820504287011305e-01,3.434133181134565449e-01,3.184389357526408726e-01,2.567023148153333989e-01,1.221553762647259594e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.025642093520486992e-02,4.082752132561934949e-02,9.337570824655749835e-02,1.002756852011519872e-01,1.043683796212415138e-01,1.624208459086854683e-01,2.682097764950389651e-01,3.529361175970535114e-01,3.693683726875947038e-01,3.004284078297450034e-01,1.772335890715731055e-01,9.203110614858657501e-02,1.196361179125416258e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.352095174654173448e-01,1.312345941946680139e-01,1.440899604969063941e-01,1.718728843468933509e-01,1.639371148697062741e-01,1.344714415499824178e-01,1.826293829034942584e-01,3.130992718661057550e-01,3.790401265874808190e-01,3.315033898820745062e-01,1.741473769988181874e-01,1.831273117981925547e-02,1.184868954285461795e-01,1.540161633271076858e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.078484618614631907e-02,6.493501341042545727e-02,1.447261315308636664e-01,1.592166911674319785e-01,1.649962670017942334e-01,1.738034664439689070e-01,1.630260294697392920e-01,2.446399903368691175e-01,3.933944874253663682e-01,3.861458161891969665e-01,2.498951523073583703e-01,6.199945120954758471e-02,9.004843272569122703e-02,8.187577696045808540e-02,7.720777207750122162e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.858269575630386888e-02,1.228752570229341562e-01,1.695227053859657829e-01,1.895368613175905381e-01,1.638222154647141215e-01,1.788648185689778736e-01,2.147758181724730153e-01,3.501525298760153060e-01,4.646193399352219200e-01,3.772897242338436041e-01,2.229341401819164292e-01,1.419251339922494026e-01,1.724813205887816281e-01,1.716984613027250084e-01,1.375219467445274457e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.193666687113078828e-01,2.037136893499680301e-01,1.621027229423036842e-01,1.566349655581411593e-01,1.429127078187903688e-01,1.773728695763838736e-01,2.535412022084215788e-01,4.062440556418798754e-01,4.459779467107274353e-01,2.962329362720373949e-01,1.924053156760957561e-01,1.873426095223987009e-01,2.298004006206188776e-01,2.686764413474314606e-01,2.671120841669560320e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.718435577795692226e-01,1.769869387565248253e-01,1.122528084016578553e-01,6.402509546474535740e-02,1.491675212011530915e-01,2.631451727199116131e-01,3.416012966674684126e-01,4.084624193314558283e-01,3.437435977962410294e-01,1.535159461790998603e-01,6.749386400028123401e-02,1.016790903937344198e-01,1.255355405840860028e-01,1.627568327153587069e-01,2.067406608747341390e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.402401597087559737e-01,5.225090259327163505e-02,8.026118610770226203e-02,1.362744983261432730e-01,2.756971198595494776e-01,3.724447301721983683e-01,3.694542670738987789e-01,3.167690092447638106e-01,1.579301181319669456e-01,6.395805369532786555e-02,9.312361641467030438e-02,9.241861540408601028e-02,9.999634986761100908e-02,9.164954511736279896e-02,9.105792015927499650e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.949737980606521370e-02,4.942802522256928288e-02,8.092176219499357115e-02,2.822183196772361513e-01,4.284430858462636160e-01,4.188125581959987187e-01,3.096781791411745699e-01,1.758356580663762159e-01,4.363022430818648545e-02,1.230793823122225267e-01,1.854134695683049283e-01,2.424220644644520251e-01,2.878875075172881437e-01,3.125228748017631619e-01,3.245046036962945246e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.556552655228737564e-02,4.270857095339735537e-02,2.197492100355863676e-01,3.917548652760741712e-01,4.513357687919134498e-01,3.628988299147163366e-01,1.859828090902974351e-01,7.178449106373423205e-02,1.648691552140527372e-01,1.864587727676543794e-01,2.078451457487384690e-01,2.550600277011652040e-01,2.760239451042011405e-01,2.651115723963679005e-01,2.936957954573090057e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.473757931435409049e-02,1.286879121900830758e-01,3.228797262003335611e-01,4.238956037931674303e-01,4.016414041106156074e-01,2.559863182974621565e-01,6.448439803724073660e-02,1.492646779100771370e-01,2.106611524486710074e-01,1.985637530355849056e-01,2.146605260125464820e-01,2.007462285405956781e-01,1.085752265389466759e-01,2.670026734724570416e-02,9.168283103436178361e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.023268770508285047e-02,1.543325307388491163e-01,4.030731188731391246e-01,4.463368233627205695e-01,3.580506821136609230e-01,1.622995228855759198e-01,9.706389310191178288e-02,2.066143554909118940e-01,2.199784196093074462e-01,1.933002492653421167e-01,1.826437896904667402e-01,1.280956873421800757e-01,1.413105962463727383e-01,2.029351661255912598e-01,2.081403397398146338e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.600184543956541638e-02,2.054249129972230137e-01,3.901192987114202593e-01,4.172860748177688039e-01,3.615836471301685506e-01,1.484610229049634078e-01,9.794382241335541917e-02,2.158227757926900470e-01,2.294706186170449580e-01,2.175206472550483550e-01,2.294528648970493023e-01,2.599846009989000839e-01,2.887943010170797020e-01,2.802509334790168061e-01,2.550138829921499428e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.583343196196117408e-02,2.631441305765185312e-01,3.332402740751657655e-01,3.116820230718300722e-01,3.216140930559452382e-01,2.000585557707720563e-01,9.807733304410859443e-02,1.365937594495702512e-01,1.594814715342541822e-01,2.273077185679292511e-01,2.898450129975302936e-01,3.007237474534331101e-01,2.595667208064788567e-01,2.087898158835911899e-01,1.780747616729902727e-01
