nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.290292143821716309e-01,-2.681564688682556152e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9.082759171724319458e-02,-2.868610024452209473e-01,-4.301985502243041992e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.707406491041183472e-01,2.558737993240356445e-01,nan,2.557817101478576660e-01,1.262575536966323853e-01,-2.869983203709125519e-02,-1.321428120136260986e-01,-2.348448783159255981e-01,-3.335587382316589355e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.482104629278182983e-02,4.802569746971130371e-03,4.069633781909942627e-03,2.798573113977909088e-03,-6.279744952917098999e-02,-1.549602299928665161e-01,-2.099384069442749023e-01,-2.251947224140167236e-01,-2.102812081575393677e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.147618845105171204e-02,-1.028370261192321777e-01,-1.507842242717742920e-01,-1.689027845859527588e-01,-2.043453156948089600e-01,-2.284742742776870728e-01,-2.101313471794128418e-01,-1.387028694152832031e-01,-3.538896888494491577e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6.516458466649055481e-03,-3.211993724107742310e-02,-7.635172456502914429e-02,-8.611795306205749512e-02,-8.785568177700042725e-02,-1.089945212006568909e-01,-1.473703086376190186e-01,-1.883146762847900391e-01,-2.141486406326293945e-01,-1.949501782655715942e-01,-1.034443899989128113e-01,2.183476276695728302e-02,1.159865334630012512e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.764833420515060425e-02,-1.278432607650756836e-01,-1.346793919801712036e-01,-1.575964093208312988e-01,-1.598183363676071167e-01,-1.287186294794082642e-01,-1.264535188674926758e-01,-1.801397800445556641e-01,-2.047584056854248047e-01,-1.716771423816680908e-01,-9.484022110700607300e-02,1.577486470341682434e-02,1.167206466197967529e-01,1.524915993213653564e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.417135357856750488e-02,-6.274371594190597534e-02,-1.447092890739440918e-01,-1.496174633502960205e-01,-1.441910862922668457e-01,-1.724692136049270630e-01,-1.622152775526046753e-01,-1.788023114204406738e-01,-2.521993815898895264e-01,-2.575380504131317139e-01,-1.674501746892929077e-01,-5.522143095731735229e-02,1.449956744909286499e-02,4.544171318411827087e-02,5.896533653140068054e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.371507674455642700e-02,-7.415232062339782715e-02,-1.603733301162719727e-01,-1.846870481967926025e-01,-1.382774859666824341e-01,-1.699824333190917969e-01,-2.098160684108734131e-01,-2.666221559047698975e-01,-3.171911835670471191e-01,-3.007882237434387207e-01,-2.130446881055831909e-01,-1.305374354124069214e-01,-1.309614032506942749e-01,-1.502183973789215088e-01,-1.317171156406402588e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-5.916386097669601440e-02,-9.559185057878494263e-02,-1.207515299320220947e-01,-1.548120826482772827e-01,-1.312639266252517700e-01,-1.501624733209609985e-01,-2.205614447593688965e-01,-2.834576070308685303e-01,-2.792372703552246094e-01,-2.355022281408309937e-01,-1.923901140689849854e-01,-1.737352907657623291e-01,-2.163591235876083374e-01,-2.582157254219055176e-01,-2.667726278305053711e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.343710869550704956e-01,-7.909254729747772217e-02,-1.500937528908252716e-02,-4.213339462876319885e-02,-1.218296214938163757e-01,-2.075783759355545044e-01,-2.799116671085357666e-01,-2.838053405284881592e-01,-1.891108900308609009e-01,-8.624103665351867676e-02,-6.658788770437240601e-02,-9.311231970787048340e-02,-1.216153725981712341e-01,-1.591393500566482544e-01,-2.050516456365585327e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.282352358102798462e-01,-3.100384399294853210e-02,5.342125520110130310e-02,1.167497690767049789e-02,-1.395634412765502930e-01,-2.509637176990509033e-01,-2.986918091773986816e-01,-2.486576288938522339e-01,-8.948040008544921875e-02,4.908186197280883789e-02,9.309708327054977417e-02,9.131468832492828369e-02,9.983841329813003540e-02,8.977962285280227661e-02,4.466973990201950073e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.859332203865051270e-02,-2.197005786001682281e-02,-5.190676078200340271e-02,-1.251672208309173584e-01,-2.195822596549987793e-01,-2.453211992979049683e-01,-2.381800264120101929e-01,-1.631577163934707642e-01,-1.352763921022415161e-02,9.822855144739151001e-02,1.760832369327545166e-01,2.380970567464828491e-01,2.865966558456420898e-01,3.113530278205871582e-01,3.019042015075683594e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.322546206414699554e-02,-2.796645741909742355e-03,-1.390813887119293213e-01,-2.282042205333709717e-01,-2.586575448513031006e-01,-2.130773812532424927e-01,-1.408969014883041382e-01,-4.563184827566146851e-02,4.998096823692321777e-02,9.680194407701492310e-02,1.488150954246520996e-01,2.210727483034133911e-01,2.637602686882019043e-01,2.650876045227050781e-01,2.672805786132812500e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.848967000842094421e-02,3.793746232986450195e-02,-8.698043972253799438e-02,-1.748332977294921875e-01,-2.021246105432510376e-01,-1.580432206392288208e-01,-6.411092728376388550e-02,2.555584535002708435e-02,6.867598742246627808e-02,7.632588595151901245e-02,9.468745440244674683e-02,1.101713404059410095e-01,7.787714153528213501e-02,2.048537693917751312e-02,1.113760285079479218e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.661650698632001877e-03,-7.348364684730768204e-03,-5.474029853940010071e-02,-7.001056522130966187e-02,-8.740524947643280029e-02,-8.826515078544616699e-02,-4.536377638578414917e-02,-2.137020463123917580e-03,6.532095372676849365e-03,2.814511768519878387e-03,-1.160715147852897644e-02,-6.564197689294815063e-02,-1.409265846014022827e-01,-1.918245106935501099e-01,-1.971513628959655762e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-3.063981607556343079e-02,-1.030984818935394287e-01,-1.009258776903152466e-01,-2.625880390405654907e-02,1.025220379233360291e-02,-3.678400069475173950e-03,-2.175670675933361053e-02,-4.277721047401428223e-02,-8.679939061403274536e-02,-1.347742527723312378e-01,-1.944661736488342285e-01,-2.580699324607849121e-01,-2.827152907848358154e-01,-2.700671553611755371e-01,-2.508332431316375732e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.406243935227394104e-02,-1.324175596237182617e-01,-1.257256120443344116e-01,-3.456443548202514648e-02,6.326995044946670532e-02,1.108157560229301453e-01,8.702809363603591919e-02,1.154380757361650467e-02,-1.024237200617790222e-01,-2.114156931638717651e-01,-2.846386730670928955e-01,-3.002328872680664062e-01,-2.584643959999084473e-01,-2.063966989517211914e-01,-1.772078871726989746e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.833155691623687744e-01,-1.777153909206390381e-01,-8.609659224748611450e-02,-7.576912641525268555e-02,-1.054531857371330261e-01,-7.695782929658889771e-02,-3.305079415440559387e-02,5.363014712929725647e-02,1.401967704296112061e-01,1.315159052610397339e-01,4.541810229420661926e-02,-6.560577452182769775e-02,-1.416239291429519653e-01,-1.644559800624847412e-01,-1.402607560157775879e-01,-9.447980672121047974e-02,-5.514531955122947693e-02,-4.950977116823196411e-02
